no,batch,p_number,certificates,cannabinoids,loss_on_drying,microbiology,heavy_metals,pesticides,mycotoxins,identA_appearance,identB_microscopy,identC_tlc,foreign_matter,farmahem_197,needs_CoQ,needs_CoQ_reissue,iCoA_scope
1,BG1024,Blue Gelato,5,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,full panel (IdentA/B + IdentC + foreign matter)
2,BSS1024,Blue Sunset Sherbet,5,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,full panel (IdentA/B + IdentC + foreign matter)
3,CJ1024,Cup Junky,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
4,GG1024_01,P050092,5,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,full panel (IdentA/B + IdentC + foreign matter)
5,GP0824_01,P050102,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
6,MB0824_04,P050032,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
7,OPM1024_01,P050042,3,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
8,GG1024_02,P050012,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
9,HPA1024_01,P050052,5,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,full panel (IdentA/B + IdentC + foreign matter)
10,OPM1024_02,P050062,5,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,full panel (IdentA/B + IdentC + foreign matter)
11,GP0824_02,P050022,8,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,full panel (IdentA/B + IdentC + foreign matter)
12,GP0824_03,P050072,6,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
13,BSS1024_01,P050122,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
14,OPM1024_03,P050082,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
15,MB0824_05,P050112,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
16,OPM052501,P050132,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
17,CJ052501-1,P050162,5,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,full panel (IdentA/B + IdentC + foreign matter)
18,CJ052501-2,P050172,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,full panel (IdentA/B + IdentC + foreign matter)
19,GP052501,P050152,5,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,full panel (IdentA/B + IdentC + foreign matter)
